Codigo|Produtos|Codigo.Fiscal Regime Simples|Codigo.Fiscal Regime Normal|NCM|CST ICMS|CST PIS/ COFINS NA ENTRADA|CST PIS/ COFINS NA SAÍDA|CFOP
3984|MOLDURAS MARFIM 65-33 X 10|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3985|MOLDURAS MARFIM 66-30 X 7|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3986|FECH MONACO EXT L.O.|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
3987|FECH MONACO INT L.O.|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
3988|FECH MONACO WC L.O.|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
3989|MS ALTA 110 EMB 200/10 C/PL|||DÚVIDA|NT|NT|NT|
3990|MS ALTA 110 G TN C/CAL‡|||DÚVIDA|NT|NT|NT|
3991|MS CURVA 110 EMB 200/10 C/PL|||DÚVIDA|NT|NT|NT|
3992|MS CURVA 110 G TN C/CAL‡O|||DÚVIDA|NT|NT|NT|
3993|MS RETA 110 EMB 200/10 C/PL|||DÚVIDA|NT|NT|NT|
3994|MS RETA 110 G TN C/CAL‡O|||DÚVIDA|NT|NT|NT|
2608|FECH NAPOLE C ROSETA BICO DE PAGAGAIO|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
2603|FECH NAPOLE C ROSETA CILINDRO B P|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
3998|RAZ LT NENA|||3814.00.90|00|50|01|5102
3999|NIVEL AGUIA 30 MAD|||DÚVIDA|NT|NT|NT|
4000|NIVEL AGUIA 35 MAD|||DÚVIDA|NT|NT|NT|
4001|MASSA S12 AVELA 400 ML|32091010.5405.0500.0000|32091010.5405.0060.0000|3214.90.00|60|50|01|5405
4002|MASSA S12 NO-DE-PINUS|32091010.5405.0500.0000|32091010.5405.0060.0000|3214.90.00|60|50|01|5405
4005|FECH NOVARA TETRA LAN|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
4008|FECH NOVARA TETRA F.L. LO|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
4009|FECH NOVARA TETRA ANT|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
