BUCHA DE NYLON 05MM C/50 UNID.|B5|UN|0.0100|4.5000|0.0100|0.0000|-38.0000
BUCHA DE NYLON 12MM UNID.|B12U|UN|0.0100|0.3500|0.0100|0.0000|-886.0000
BUCHA COM ANEL 07MM C/50 UNID.|BA7|UN|0.0100|9.5000|0.0100|0.0000|18.0000
BROCA CHATA 1/4'' LOTUS|7031|UN|1.4900|9.9000|18.7000|0.0000|7.0000
BROCA CHATA 3/8'' IRWIN|7897095034293|UN|3.6200|7.2500|18.7000|0.0000|1.0000
BROCA CHATA 1/2'' IRWIN|4309|UN|3.6200|7.2500|18.7000|0.0000|-2.0000
BROCA CHATA 5/8'' LOTUS|8614|UN|1.7700|7.2500|22.6000|0.0000|4.0000
BROCA CHATA 3/4'' LOTUS|7032|UN|2.0200|11.0000|22.3600|0.0000|3.0000
BROCA CHATA 1.1/4 LOTUS|8619|UN|2.5000|14.0000|26.7200|0.0000|9.0000
BROCA CHATA 1'' LOTUS|7029|UN|2.3700|12.0000|0.0100|0.0000|3.0000
BROCA CHATA 1.1/2'' LOTUS|8620|UN|2.9000|13.0000|0.0100|0.0000|0.0000
MAÇANETA TACO DE GOLFE OX|7899476996367|UN|16.4100|30.3000|32.8200|0.0000|7.0000
ESTOPA 200G|2000000032177|UN|1.0500|4.5000|2.1000|0.0000|74.0000
MAÇANETA ALAVANCA COM FURINHO CROMADO|C773CR|UN|16.7700|27.3500|33.5400|0.0000|2.0000
PUXADOR 1/2 PONTEIRA ABS 192|1016192|UN|2.3200|6.9500|4.6400|0.0000|-66.0000
FECHADURA GRAZIA INTERNA COM FURINHOS AT|713I773AT|UN|24.5700|40.1000|49.1400|0.0000|2.0000
PARAFUSO P/ MDF 6X100 UNID.|6100U|UN|0.0100|0.3000|0.0100|0.0000|999999369.0000
COLA BRANCA EXTRA 1KG CASCOREZ|2000005212222|UN|0.0100|0.0100|0.0100|0.0000|0.0000
ESQUADRO ZAMAC 30CM|5290|UN|7.8700|28.9000|18.8200|0.0000|3.0000
PUXADOR 1/2 PONTEIRA ABS 064MM|101664|UN|1.8500|4.0500|3.7000|0.0000|42.0000
FECHADURA GRAZIA INTERNA ROSETA QUADRADA COM FURINHOS AT|740I773AT|UN|24.5700|44.7000|49.1400|0.0000|-7.0000
CHAVE TORX 10MM - UYUSTOOLS|2000000082288|UN|0.0100|8.0000|0.0100|0.0000|9.0000
CHAVE TORX 15MM- UYUSTOOLS|2000000592299|UN|0.0100|9.5000|0.0100|0.0000|10.0000
CHAVE TORX 20MM - UYUSTOOLS|2000002012306|UN|0.0100|10.2000|0.0100|0.0000|9.0000
