  1427/4 - ABRACADEIRA U 75                                   |      65- |2|2.2|2.4|2
  2776/2 - ABRE ROSCA 1 1/2                                   |3|26.9|29.59|32.3|26.9
  3014/4 - ABRE ROSCA 1 1/4                                   |7|21|23.1|25.2|21
  2777/9 - ABRE ROSCA 1/2                                     |       1- |7.6|8.36|9.1|7.6
  2778/6 - ABRE ROSCA 3/4                                     |0|8.5|9.35|10.2|8.5
  6451/4 - ACAB COMPLETO C25 HIDROPOL                         |80|14|15.4|16.8|14
  6764/5 - ACAB. BORRACHA P/ TUBO 1 1/2" EXT.                 |61|3.5|3.85|4.2|3.5
  6763/8 - ACAB. BORRACHA P/ TUBO 1 1/4" EXT.                 |23|2.75|3.03|3.3|2.75
  6762/1 - ACAB. BORRACHA P/ TUBO 1" EXT.                     |      46- |2.5|2.74|3|2.5
  7000/3 - ACAB. BORRACHA P/ TUBO 2 EXT.                      |40|7|7.7|8.4|7
  6793/5 - ACAB. BORRACHA P/ TUBO 20X20                       |7|3|3.3|3.6|3
  6765/2 - ACAB. BORRACHA P/ TUBO 25X25                       |      30- |3|3.3|3.6|3
  6791/1 - ACAB. BORRACHA P/ TUBO 3/4 EXT.                    |116|2|2.18|2.4|2
  6794/2 - ACAB. BORRACHA P/ TUBO 30X30                       |14|3.4|3.74|4.08|3.4
  6795/9 - ACAB. BORRACHA P/ TUBO 40X40                       |       4- |8|8.8|9.6|8
  6790/4 - ACAB. BORRACHA P/ TUBO 5/8 EXT.                    |38|1|1.1|1.2|1
  6797/3 - ACAB. BORRACHA P/ TUBO 50X30                       |      49- |8|8.8|9.6|8
  6796/6 - ACAB. BORRACHA P/ TUBO 50X50                       |25|9|9.9|10.8|9
  6792/8 - ACAB. BORRACHA P/ TUBO 7/8 EXT.                    |57|2|2.21|2.4|2
  7580/0 - ACAB. BORRACHA P/ TUBO 70X70 EXT                   |19|16.9|18.59|20.28|16.9
  6649/5 - ACAB. P/ TUBO  1 1/2 EXT.                          |0|1.25|1.37|1.49|1.25
  6648/8 - ACAB. P/ TUBO  1 1/4 EXT.(1 1/2 INT.)              |      58- |1|1.1|1.2|1
  6654/9 - ACAB. P/ TUBO  1 1/4 INT.                          |      12- |1|1.1|1.2|1
  6647/1 - ACAB. P/ TUBO  1 EXT.                              |106|0.95|1.04|1.14|0.95
  6652/5 - ACAB. P/ TUBO  1 INT.                              |       9- |0.75|0.82|0.9|0.75
  6645/7 - ACAB. P/ TUBO  3/4 EXT.                            |54|0.75|0.82|0.9|0.75
  6650/1 - ACAB. P/ TUBO  3/4 INT.                            |22|0.75|0.82|0.9|0.75
  6646/4 - ACAB. P/ TUBO  7/8 EXT.                            |67|0.88|0.97|1.05|0.88
  6651/8 - ACAB. P/ TUBO  7/8 INT.                            |115|0.8|0.88|0.96|0.8
  6639/6 - ACAB. P/ TUBO 15X15                                |      37- |0.5|0.55|0.6|0.5
  7922/8 - ACAB. P/ TUBO 2 1/2 INT                            |      42- |2.5|2.75|3|2.5
  6998/4 - ACAB. P/ TUBO 2 EXT.                               |71|5|5.5|6|5
  6997/7 - ACAB. P/ TUBO 2 INT.                               |      17- |2.5|2.75|3|2.5
  6640/2 - ACAB. P/ TUBO 20X20                                |136|0.63|0.68|0.75|0.63
  6641/9 - ACAB. P/ TUBO 30X20                                |      65- |0.9|0.99|1.08|0.9
  6642/6 - ACAB. P/ TUBO 40X20                                |18|1|1.1|1.2|1
  7854/2 - ACAB. P/ TUBO 40X40                                |80|2.5|2.75|3|2.5
  6653/2 - ACAB. P/ TUBO 50X30                                |64|1.2|1.32|1.44|1.2
  6643/3 - ACAB. P/ TUBO 70X30                                |39|3.4|3.74|4.08|3.4
  6644/0 - ACAB. P/ TUBO 90X30                                |21|3.4|3.74|4.08|3.4
  3136/3 - ACAB.VALV.DESC.VDA2 ASTRA                          |0|45.54|50.09|54.7|45.54
  4915/3 - ACABAMENTO 5710 CR CENSI DOCOL                     |1|55|60.5|66|55
  6171/1 - ACABAMENTO AQUARIUS 1 7967 FABRIMAR                |0|44.9|49.39|53.88|44.9
  2080/0 - ACABAMENTO C-40C                                   |2|19.02|20.92|22.8|19.02
