  7614/2 - A-031 CAIXA CORREIO CHINESA 15X25X12 P/MURO        |20|51.65|56.81|61.98|51.65|0|0
  4653/4 - A-039 CAIXA CORREIO JORNAL 25X36X16 MURO           |17|99.9|109.89|119.88|99.9|0|0
  6851/2 - A-043 CAIXA CORREIO ROMANA 20X18X24 MURO           |15|75.9|83.49|91.08|75.9|0|0
  4655/8 - A-045 CAIXA CORREIO VILA-RICA 15X23X31 MURO        |1|83.34|91.67|100|83.34|0|0
  4656/5 - A-046 CAIXA CORREIO VILA-RICA 20X23X31 MURO        |1|86.76|95.44|104.1|86.76|0|0
  7615/9 - A-048 CAIXA CORREIO VILA RICA 20X23X31 P/MURO      |5|119.7|131.67|143.64|119.7|0|0
  7616/6 - A-052 CAIXA CORREIA IMPERIAL 20X40X26 P/ MURO      |5|142.5|156.75|171|142.5|0|0
  4636/7 - A-059 CAIXA CORREIO COLONIAL-POP 12X23X11 MUR      |1|22.32|24.55|26.8|22.32|0|0
  4648/0 - A-069 CAIXA CORREIO POMBINHO 15X25X12 MURO         |1|38.34|42.17|46|38.34|0|0
  4649/7 - A-071 CAIXA CORREIO POMBINHO 20X25X12 MURO         |7|53.9|59.29|64.68|53.9|0|0
  4645/9 - A-075 CAIXA CORREIO GREGA 15X25X12 MURO            |0|38.34|42.17|46|38.34|0|0
  4646/6 - A-076 CAIXA CORREIO GREGA 20X25X12 MURO            |5|50.4|55.44|60.48|50.4|0|0
  7624/1 - A-077 CAIXA CORREIO GREGA 20X25X12 P/ MURO         |20|59.99|65.98|71.98|59.99|0|0
  4643/5 - A-081 CAIXA CORREIO LIZ 15X25X12 MURO              |       5- |41.58|45.74|49.9|41.58|0|0
  4644/2 - A-082 CAIXA CORREIO LIZ 20X25X12 MURO              |21|51.66|56.83|61.99|51.66|0|0
  4651/0 - A-087 CAIXA CORREIO POMBO 15X25X12 MURO            |2|41.58|45.74|49.9|41.58|0|0
  7610/4 - A-088 CAIXA DE CORREIO POMBO P/ MURO               |20|51.65|56.81|61.98|51.65|0|0
  4654/1 - A-094 CAIXA CORREIO TIJOLINHO 20X25X30 MURO        |1|66.24|72.86|79.5|66.24|0|0
  4640/4 - A-107 CAIXA CORREIO POPULAR 15X23X11 MURO          |      14- |21.6|23.76|25.9|21.6|0|0
  4863/7 - A-108 CAIXA DE CORREIO POPULAR INOX 15X23X11       |35|27.9|30.69|33.5|27.9|0|0
  4864/4 - A-109 CAIXA DE CORREIO POPULAR INOX 20X23X11       |36|35.9|39.49|43.08|35.9|0|0
  7618/0 - A-114 CAIXA CORREIO POPULAR JORNAL INOX 25X36      |0|69.9|76.89|83.88|69.9|0|0
